Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-12-23,Rush Hour 2,2001,https://boxd.it/3z7ajF,3,,,2022-12-22
2022-12-23,The Wolf of Wall Street,2013,https://boxd.it/3zhDXf,5,Yes,,2022-12-23
2022-12-23,The Hundred-Foot Journey,2014,https://boxd.it/3zhF1x,3.5,Yes,,2022-12-23
2022-12-23,How to Lose a Guy in 10 Days,2003,https://boxd.it/3zhGJb,2.5,,,2022-12-23
2022-12-23,When Harry Met Sally...,1989,https://boxd.it/3zhHe9,5,Yes,,2022-12-23
2022-12-24,Bullet Train,2022,https://boxd.it/3zpNEt,4,,,2022-12-23
2022-12-24,Glass Onion,2022,https://boxd.it/3zspkP,4,,,2022-12-23
2022-12-25,This Is the End,2013,https://boxd.it/3zFvih,3.5,,,2022-12-24
2022-12-26,Home Alone,1990,https://boxd.it/3A1i9Z,5,Yes,,2022-12-25
2022-12-27,Zero Dark Thirty,2012,https://boxd.it/3AokRl,4,,,2022-12-26
2022-12-27,Father of the Bride,1991,https://boxd.it/3AERa7,3,,,2022-12-26
2023-01-04,The Banshees of Inisherin,2022,https://boxd.it/3DQqbD,3.5,,,2023-01-03
2023-01-05,Empire Records,1995,https://boxd.it/3E0CPZ,3,,,2023-01-04
2023-01-06,Aftersun,2022,https://boxd.it/3EnPDN,4,,,2023-01-05
2023-01-07,The Internship,2013,https://boxd.it/3F1N7b,3,,,2023-01-06
2023-01-07,Dune,2021,https://boxd.it/3F43mv,4,,,2023-01-07
2023-01-11,RRR,2022,https://boxd.it/3GCw27,5,,,2023-01-10
2023-01-12,Babylon,2022,https://boxd.it/3GWdgT,4.5,,,2023-01-11
2023-01-17,The Royal Tenenbaums,2001,https://boxd.it/3ItQbX,4,,,2023-01-16
2023-01-18,Avatar: The Way of Water,2022,https://boxd.it/3IW5Af,3,,,2023-01-17
2023-01-19,The Menu,2022,https://boxd.it/3JgaSD,4.5,,,2023-01-18
2023-01-28,You People,2023,https://boxd.it/3M2ChJ,0.5,,,2023-01-27
2023-02-03,Triangle of Sadness,2022,https://boxd.it/3NTn2p,3.5,,,2023-02-02
2023-02-04,Black Panther: Wakanda Forever,2022,https://boxd.it/3OeA67,3.5,,,2023-02-04
2023-02-05,American Hustle,2013,https://boxd.it/3OB4z3,3.5,,,2023-02-05
2023-02-08,He's Just Not That Into You,2009,https://boxd.it/3Pr5N5,2.5,,,2023-02-07
2023-02-09,On the Count of Three,2021,https://boxd.it/3PJRyN,3.5,,,2023-02-08
2023-02-16,Your Place or Mine,2023,https://boxd.it/3RxitR,3,,,2023-02-15
2023-02-22,Pretty Woman,1990,https://boxd.it/3TkB7R,3,,,2023-02-21
